"angle","fre_sum","freq_diff","freq_1D","freq_2D"
316.8,25677.5454279073,2208287.46192488,1116982.50367639,-1091304.95824849
320.4,27057.5557230662,2080878.54409981,1053968.04991144,-1026910.49418837
324,28424.8897886379,1956491.83684674,992458.363317687,-964033.473529049
327.6,29756.081065262,1837088.92517677,933422.503121015,-903666.422055753
331.2,31027.4319708582,1724552.77614526,877790.104058058,-846762.672087199
334.8,32215.5575216599,1620658.04891325,826436.803217453,-794221.245695794
338.4,33297.9636789821,1527043.11400719,780170.538843086,-746872.575164104
342,34253.6381339515,1445184.22261302,739718.930373488,-705465.292239537
345.6,35063.6293818885,1376372.23278416,705717.931083026,-670654.301701138
349.2,35711.5893902383,1321692.25910078,678701.92424551,-642990.334855271
352.799999999999,36184.2559835382,1282006.56622802,659095.411105777,-622911.155122239
356.4,36471.8532275725,1257940.97570917,647206.414468373,-610734.5612408
359.999999999999,36568.3914826245,1249875,643221.695741312,-606653.304258688
